Player 1,Player 1 Slot,Character 1,Character 1 Alt,Player 2,Player 2 Slot,Character 2,Character 2 Alt,Winner,Tournament No.,Round No.
ebgam3r7,24,Pokemon Trainer,8,1nfernalfire,1,Joker,7,ebgam3r7,11,1
Adin_Kuwabara,23,Ganondorf,1,ChillingWithApril,22,Byleth,8,ChillingWithApril,11,1
NoWyre,16,Sephiroth,7,just_like_home,30,Snake,3,just_like_home,11,1
Cycrum,17,Swordfighter,1,lilmisspiggy23,12,Bayonetta,1,Cycrum,11,1
the1trueant,4,Hero,5,ElmersGlueEater,13,Incineroar,6,the1trueant,11,2
DarkLordArbitur,3,Banjo,5,windbornideas,9,Bowser,5,windbornideas,11,2
Aaronitmar,32,Banjo,2,Benwor,25,Donkey Kong,5,Aaronitmar,11,2
ToadTheBuilder,10,Donkey Kong,4,Sinistarintent,2,Mega Man,6,SinistarIntent,11,2
BeckettGD,27,Kirby,3,ASingleRaindrop,19,Brawler,2,BeckettGD,11,2
Vertical2715,21,Kirby,8,Jcardnal,6,Terry,1,Vertical2715,11,2
ebgam3r7,24,Pokemon Trainer,8,ChillingWithApril,22,Byleth,8,ChillingWithApril,11,2
just_like_home,30,Snake,3,Cycrum,17,Swordfighter,1,just_like_home,11,2
the1trueant,4,Hero,5,windbornideas,9,Bowser,5,the1trueant,11,3
Aaronitmar,32,Banjo,2,Sinistarintent,2,Mega Man,6,Aaronitmar,11,3
BeckettGD,27,Kirby,3,Vertical2715,21,Kirby,8,Vertical2715,11,3
ChillingWithApril,22,Byleth,8,just_like_home,30,Snake,3,ChillingWithApril,11,3
the1trueant,4,Hero,5,Aaronitmar,32,Banjo,2,Aaronitmar,11,4
Vertical2715,21,Kirby,8,ChillingWithApril,22,Byleth,8,Vertical2715,11,4
Aaronitmar,32,Banjo,2,Vertical2715,21,Kirby,8,Aaronitmar,11,5
