Player 1,Player 1 Slot,Character 1,Character 1 Alt,Player 2,Player 2 Slot,Character 2,Character 2 Alt,Winner,Tournament No.,Round No.
Number6,22,Kirby,5,PhpRyV,14,Roy,8,Number6,7,1
just_like_home,21,Snake,3,the1trueant,13,Hero,5,the1trueant,7,1
NECROcade,29,Meta Knight,7,jujupuff,3,Villager,2,jujupuff,7,2
collectordoggo,12,Isabelle,3,Saltedsword,18,Pythra,2,collectordoggo,7,2
6double,31,Byleth,7,fightingjoey,16,Kazuya,1,fightingjoey,7,2
feffer,7,Kirby,1,gaperitis,24,Pit,7,feffer,7,2
XOXneptuneXOX,4,Lucina,1,Sinistarintent,25,Bayonetta,2,XOXneptuneXOX,7,2
SashaDeminova,30,Inkling,7,QBee_Buzz,10,Lucario,4,SashaDeminova,7,2
lilmisspiggy23,11,Pythra,3,kael333_,1,Incineroar,2,kael333_,7,2
Number6,22,Kirby,5,the1trueant,13,Hero,5,Number6,7,2
jujupuff,3,Villager,2,collectordoggo,12,Isabelle,3,collectordoggo,7,3
fightingjoey,16,Kazuya,1,feffer,7,Kirby,1,fightingjoey,7,3
XOXneptuneXOX,4,Lucina,1,SashaDeminova,30,Inkling,7,SashaDeminova,7,3
kael333_,1,Incineroar,2,Number6,22,Kirby,5,kael333_,7,3
collectordoggo,12,Isabelle,3,fightingjoey,16,Kazuya,1,fightingjoey,7,4
SashaDeminova,30,Inkling,7,kael333_,1,Incineroar,2,kael333_,7,4
fightingjoey,16,Kazuya,1,kael333_,1,Incineroar,2,fightingjoey,7,5
kayef42,22,R.O.B.,1,Number6,19,Kirby,5,Number6,8,1
StuffWithConnor,16,Pichu,6,technetiumetal,30,Pythra,2,technetiumetal,8,1
User_name_Pending,21,Pythra,2,6double,2,Byleth,7,6double,8,1
Skaell_,6,Palutena,6,ASingleRaindrop,7,Mewtwo,3,Skaell_,8,1
kael333_,8,Incineroar,2,MegaMicahBoo,23,Bowser,1,kael333_,8,1
collectordoggo,29,Isabelle,6,goonguy37,4,Ganondorf,4,collectordoggo,8,1
NormalWaddleDee,31,Wario,6,NECROcade,14,Meta Knight,7,NECROcade,8,1
just_like_home,3,Snake,3,Jazmine_Dragon,25,Toon Link,8,just_like_home,8,1
DataPackage,15,Richter,1,jeshsomething,20,Sonic,5,jeshsomething,8,1
fairylatte,9,Sephiroth,1,nekomarusmommymilkers,12,Incineroar,1,fairylatte,8,1
Yep_Its_Espe,5,Yoshi,1,sewagebear,17,Joker,8,Yep_Its_Espe,8,1
MamituVtuber,24,Lucina,8,ToadTheBuilder,28,Wolf,8,MamituVtuber,8,1
7he1nquisition,27,Ridley,3,jujupuff,10,Villager,2,jujupuff,8,1
Benwor,11,Donkey Kong,5,rabbit2001221,18,Terry,2,Benwor,8,1
BOBBYWASABI,1,Villager,5,NoWyre,32,Sephiroth,3,BOBBYWASABI,8,1
windbornideas,26,Mr. Game & Watch,6,the1trueant,13,Hero,1,the1trueant,8,1
Number6,19,Kirby,5,technetiumetal,30,Pythra,2,Number6,8,2
6double,2,Byleth,7,Skaell_,6,Palutena,6,6double,8,2
kael333_,8,Incineroar,2,collectordoggo,29,Isabelle,6,kael333_,8,2
NECROcade,14,Meta Knight,7,just_like_home,3,Snake,3,NECROcade,8,2
jeshsomething,20,Sonic,5,fairylatte,9,Sephiroth,1,jeshsomething,8,2
Yep_Its_Espe,5,Yoshi,1,MamituVtuber,24,Lucina,8,Yep_Its_Espe,8,2
jujupuff,10,Villager,2,Benwor,11,Donkey Kong,5,jujupuff,8,2
BOBBYWASABI,1,Villager,5,the1trueant,13,Hero,1,the1trueant,8,2
Number6,19,Kirby,5,6double,2,Byleth,7,6double,8,3
kael333_,8,Incineroar,2,NECROcade,14,Meta Knight,7,NECROcade,8,3
jeshsomething,20,Sonic,5,Yep_Its_Espe,5,Yoshi,1,Yep_Its_Espe,8,3
jujupuff,10,Villager,2,the1trueant,13,Hero,1,the1trueant,8,3
6double,2,Byleth,7,NECROcade,14,Meta Knight,7,6double,8,4
Yep_Its_Espe,5,Yoshi,1,the1trueant,13,Hero,1,the1trueant,8,4
6double,2,Byleth,7,the1trueant,13,Hero,1,6double,8,5
just_like_home,13,Snake,3,ToadTheBuilder,32,Donkey Kong,5,just_like_home,9,1
Cycrum,27,Zero Suit Samus,8,collectordoggo,24,Isabelle,5,collectordoggo,9,1
Benwor,20,Jigglypuff,1,DarkLordArbitur,4,King K. Rool,6,DarkLordArbitur,9,1
dellamie,15,Kirby,2,goonguy37,5,Ganondorf,4,dellamie,9,1
jujupuff,29,Villager,2,DataPackage,3,Richter,3,DataPackage,9,1
SashaDeminova,21,Inkling,7,mossybanana,2,King Dedede,3,mossybanana,9,1
CrystalKiriu,10,Chrom,8,NECROcade,30,Meta Knight,7,NECROcade,9,1
